student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score
S001,24,B.Sc,7,8.42,72,57,8,8,6,6,6,4,8,77
S002,21,MBA,2,8.59,62,74,5,6,7,4,8,8,6,46
S003,22,B.Sc,2,5.8,98,90,8,7,6,4,3,2,3,85
S004,24,M.Sc,4,6.93,65,73,3,6,3,7,3,3,8,52
S005,20,B.Sc,2,5.96,67,80,5,4,8,4,7,6,7,79
S006,25,M.Sc,2,8.95,86,57,3,4,8,7,6,3,5,81
S007,22,M.Sc,6,7.99,68,73,7,7,6,8,5,3,5,48
S008,22,B.Tech,4,6.82,96,74,4,7,5,3,3,3,3,89
S009,24,B.Sc,6,5.75,92,86,8,8,6,6,5,7,6,66
S010,19,B.Tech,7,6.74,83,61,4,8,4,7,8,3,6,97
S011,20,B.Sc,8,6.8,74,95,4,6,4,3,3,4,7,41
S012,24,B.Sc,7,8.42,91,87,8,7,8,4,3,2,3,44
S013,20,B.Tech,8,8.05,91,94,5,4,5,4,4,8,5,68
S014,20,B.Tech,6,9.05,83,93,7,8,3,3,3,5,6,76
S015,25,B.Sc,7,7.39,71,72,3,8,4,4,2,3,3,77
S016,22,MBA,4,5.98,98,94,6,4,8,8,6,6,6,58
S017,21,M.Sc,1,8.35,61,55,3,8,7,8,6,3,8,47
S018,25,B.Tech,6,8.54,62,65,6,6,8,3,5,6,6,87
S019,25,M.Sc,8,7.75,96,82,3,7,4,7,8,4,5,84
S020,20,MBA,5,8.58,76,79,8,4,4,7,3,6,4,40
S021,23,MBA,8,7.48,61,77,7,7,8,3,2,5,7,61
S022,22,MBA,5,7.59,61,85,6,8,3,7,5,2,7,91
S023,19,B.Tech,2,7.21,87,84,9,8,6,7,4,6,5,56
S024,25,MBA,7,5.6,82,96,5,4,4,8,5,6,6,46
S025,21,B.Tech,5,5.93,96,89,3,6,8,7,5,2,3,64
S026,23,MBA,8,5.63,91,61,3,5,8,5,3,5,6,84
S027,23,M.Sc,2,8.05,92,70,6,4,5,6,4,3,5,43
S028,19,M.Sc,1,6.76,60,80,5,5,6,4,5,6,7,75
S029,25,B.Sc,4,7.53,78,56,5,5,7,5,2,2,6,45
S030,21,M.Sc,4,9.13,61,55,8,6,3,7,2,4,7,99
S031,22,B.Sc,4,6.5,85,66,9,5,7,8,6,2,3,70
S032,18,M.Sc,5,7.14,91,59,8,5,6,3,4,4,7,58
S033,21,B.Tech,1,8.52,65,91,8,6,6,7,4,5,7,83
S034,19,M.Sc,5,6.42,91,86,8,5,6,8,6,3,4,93
S035,23,B.Sc,7,5.81,63,63,8,5,7,6,5,2,4,78
S036,22,B.Sc,5,6.66,70,95,8,5,6,7,4,8,8,66
S037,21,MBA,1,6.14,76,89,7,4,8,3,2,8,4,49
S038,18,B.Tech,1,9.22,97,73,5,4,7,8,2,7,7,65
S039,18,M.Sc,7,8.73,83,70,8,4,6,8,3,6,5,58
S040,20,MBA,1,8.03,64,57,5,6,8,8,4,5,7,78
S041,20,M.Sc,8,8.99,93,74,5,8,5,6,5,2,5,42
S042,24,M.Sc,1,8.71,65,78,4,5,6,7,6,8,5,84
S043,19,MBA,4,6.25,81,87,7,5,7,6,6,6,4,52
S044,25,MBA,8,9.07,70,78,8,6,4,4,5,8,6,89
S045,21,MBA,8,7.66,75,65,3,5,6,4,8,2,3,67
S046,21,MBA,7,8.73,92,62,6,4,4,7,7,4,4,97
S047,25,MBA,3,9.08,68,90,9,8,8,6,3,2,4,59
S048,24,M.Sc,3,6.77,65,92,3,7,5,3,6,7,6,67
S049,23,MBA,1,5.94,75,94,7,5,3,8,4,2,3,47
S050,23,B.Tech,8,6.41,88,74,6,4,5,8,3,2,7,80
