student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score,gpa_score,APS,stress_score,sleep_score,mental_score,WWS,productivity_scaled,distraction_score,PTMS,career_score,skill_score,CRS,SRI,Category
S001,24,B.Sc,7,8.42,72,57,8,8,6,6,6,4,8,77,84.2,75.10000000000001,20,100,60,60.0,60,40,59.0,40,80,60.0,64.33,Yellow
S002,21,MBA,2,8.59,62,74,5,6,7,4,8,8,6,46,85.9,76.35,50,80,70,66.66666666666667,40,20,35.333333333333336,80,60,70.0,64.305,Yellow
S003,22,B.Sc,2,5.8,98,90,8,7,6,4,3,2,3,85,57.99999999999999,76.39999999999999,20,100,60,60.0,40,70,65.0,20,30,25.0,55.42,Yellow
S004,24,M.Sc,4,6.93,65,73,3,6,3,7,3,3,8,52,69.3,68.75,70,80,30,60.0,70,70,64.0,30,80,55.0,61.925,Yellow
S005,20,B.Sc,2,5.96,67,80,5,4,8,4,7,6,7,79,59.599999999999994,65.89999999999999,50,60,80,63.333333333333336,40,30,49.666666666666664,60,70,65.0,61.870000000000005,Yellow
S006,25,M.Sc,2,8.95,86,57,3,4,8,7,6,3,5,81,89.49999999999999,81.95,70,60,80,70.0,70,40,63.666666666666664,30,50,40.0,63.318333333333335,Yellow
S007,22,M.Sc,6,7.99,68,73,7,7,6,8,5,3,5,48,79.9,74.95,30,100,60,63.333333333333336,80,50,59.333333333333336,30,50,40.0,59.01833333333334,Yellow
S008,22,B.Tech,4,6.82,96,74,4,7,5,3,3,3,3,89,68.2,77.7,60,100,50,70.0,30,70,63.0,30,30,30.0,58.910000000000004,Yellow
S009,24,B.Sc,6,5.75,92,86,8,8,6,6,5,7,6,66,57.49999999999999,73.55,20,100,60,60.0,60,50,58.666666666666664,70,60,65.0,65.29833333333333,Blue
S010,19,B.Tech,7,6.74,83,61,4,8,4,7,8,3,6,97,67.4,70.8,60,100,40,66.66666666666667,70,20,62.333333333333336,30,60,45.0,60.540000000000006,Yellow
S011,20,B.Sc,8,6.8,74,95,4,6,4,3,3,4,7,41,68.0,75.2,60,80,40,60.0,30,70,47.0,40,70,55.0,60.46,Yellow
S012,24,B.Sc,7,8.42,91,87,8,7,8,4,3,2,3,44,84.2,86.80000000000001,20,100,80,66.66666666666667,40,70,51.333333333333336,20,30,25.0,57.14,Yellow
S013,20,B.Tech,8,8.05,91,94,5,4,5,4,4,8,5,68,80.5,86.35,50,60,50,53.333333333333336,40,60,56.0,80,50,65.0,67.27166666666668,Blue
S014,20,B.Tech,6,9.05,83,93,7,8,3,3,3,5,6,76,90.5,88.75,30,100,30,53.333333333333336,30,70,58.666666666666664,50,60,55.0,65.525,Blue
S015,25,B.Sc,7,7.39,71,72,3,8,4,4,2,3,3,77,73.9,72.65,70,100,40,70.0,40,80,65.66666666666667,30,30,30.0,57.928333333333335,Yellow
S016,22,MBA,4,5.98,98,94,6,4,8,8,6,6,6,58,59.80000000000001,78.10000000000001,40,60,80,60.0,80,40,59.333333333333336,60,60,60.0,65.29666666666668,Blue
S017,21,M.Sc,1,8.35,61,55,3,8,7,8,6,3,8,47,83.5,71.05,70,100,70,80.0,80,40,55.666666666666664,30,80,55.0,64.94833333333332,Yellow
S018,25,B.Tech,6,8.54,62,65,6,6,8,3,5,6,6,87,85.39999999999999,74.3,40,80,80,66.66666666666667,30,50,55.666666666666664,60,60,60.0,64.75666666666666,Yellow
S019,25,M.Sc,8,7.75,96,82,3,7,4,7,8,4,5,84,77.5,83.95,70,100,40,70.0,70,20,58.0,40,50,45.0,64.285,Yellow
S020,20,MBA,5,8.58,76,79,8,4,4,7,3,6,4,40,85.8,81.5,20,60,40,40.0,70,70,60.0,60,40,50.0,59.45,Yellow
S021,23,MBA,8,7.48,61,77,7,7,8,3,2,5,7,61,74.8,71.10000000000001,30,100,80,70.0,30,80,57.0,50,70,60.0,64.72999999999999,Yellow
S022,22,MBA,5,7.59,61,85,6,8,3,7,5,2,7,91,75.9,73.25,40,100,30,56.666666666666664,70,50,70.33333333333333,20,70,45.0,60.875,Yellow
S023,19,B.Tech,2,7.21,87,84,9,8,6,7,4,6,5,56,72.1,78.94999999999999,10,100,60,56.666666666666664,70,60,62.0,60,50,55.0,63.91833333333333,Yellow
S024,25,MBA,7,5.6,82,96,5,4,4,8,5,6,6,46,55.99999999999999,71.8,50,60,40,50.0,80,50,58.666666666666664,60,60,60.0,61.27333333333333,Yellow
S025,21,B.Tech,5,5.93,96,89,3,6,8,7,5,2,3,64,59.3,76.25,70,80,80,76.66666666666667,70,50,61.333333333333336,20,30,25.0,57.975,Yellow
S026,23,MBA,8,5.63,91,61,3,5,8,5,3,5,6,84,56.3,67.65,70,60,80,70.0,50,70,68.0,50,60,55.0,64.39500000000001,Yellow
S027,23,M.Sc,2,8.05,92,70,6,4,5,6,4,3,5,43,80.5,81.85,40,60,50,50.0,60,60,54.333333333333336,30,50,40.0,57.42166666666666,Yellow
S028,19,M.Sc,1,6.76,60,80,5,5,6,4,5,6,7,75,67.6,67.8,50,60,60,56.666666666666664,40,50,55.0,60,70,65.0,62.17333333333333,Yellow
S029,25,B.Sc,4,7.53,78,56,5,5,7,5,2,2,6,45,75.3,72.25,50,60,70,60.0,50,80,58.333333333333336,20,60,40.0,57.34166666666667,Yellow
S030,21,M.Sc,4,9.13,61,55,8,6,3,7,2,4,7,99,91.3,74.95,20,80,30,43.333333333333336,70,80,83.0,40,70,55.0,64.25166666666667,Yellow
S031,22,B.Sc,4,6.5,85,66,9,5,7,8,6,2,3,70,65.0,71.2,10,60,70,46.666666666666664,80,40,63.333333333333336,20,30,25.0,50.86,Yellow
S032,18,M.Sc,5,7.14,91,59,8,5,6,3,4,4,7,58,71.39999999999999,74.8,20,60,60,46.666666666666664,30,60,49.333333333333336,40,70,55.0,58.14,Yellow
S033,21,B.Tech,1,8.52,65,91,8,6,6,7,4,5,7,83,85.2,80.3,20,80,60,53.333333333333336,70,60,71.0,50,70,60.0,66.95666666666668,Blue
S034,19,M.Sc,5,6.42,91,86,8,5,6,8,6,3,4,93,64.2,76.60000000000001,20,60,60,46.666666666666664,80,40,71.0,30,40,35.0,57.013333333333335,Yellow
S035,23,B.Sc,7,5.81,63,63,8,5,7,6,5,2,4,78,58.099999999999994,60.55,20,60,70,50.0,60,50,62.666666666666664,20,40,30.0,49.69833333333333,Red
